"","year","ZCTA","demographic_category","value"
"69","2018","68102","Black SNAP percentage",0.336864406779661
"70","2018","68102","Asian SNAP percentage",0.0619834710743802
"71","2018","68102","Hispanic/Latino SNAP percentage",0.311203319502075
"72","2018","68102","child poverty rate",0.204968944099379
"73","2018","68104","total households",14193
"74","2018","68104","total households, received SNAP",1707
"75","2018","68104","total households, White householder",8276
"76","2018","68104","White households, received SNAP",1023
"77","2018","68104","total households, Black householder",4698
"78","2018","68104","Black households, received SNAP",1263
"79","2018","68104","total households, Asian householder",718
"80","2018","68104","Asian households, received SNAP",375
"81","2018","68104","total households, Hispanic/Latino (any race)",580
"82","2018","68104","Hispanic/Latino households, received SNAP",112
"83","2018","68104","total population",36546
"84","2018","68104","total population under 18",9895
"85","2018","68104","median age total population",34.4
"86","2018","68104","median age male",33.4
"87","2018","68104","median age female",35
"88","2018","68104","limited English households, total",752
"89","2018","68104","limited English households, percentage",5.3
"90","2018","68104","total population under 18 in poverty status",3353
"91","2018","68104","total SNAP percentage",0.120270555907842
"92","2018","68104","White SNAP percentage",0.123610439826003
"93","2018","68104","Black SNAP percentage",0.268837803320562
"94","2018","68104","Asian SNAP percentage",0.522284122562674
"95","2018","68104","Hispanic/Latino SNAP percentage",0.193103448275862
"96","2018","68104","child poverty rate",0.338858009095503
"97","2018","68105","total households",9458
"98","2018","68105","total households, received SNAP",869
"99","2018","68105","total households, White householder",7874
"100","2018","68105","White households, received SNAP",1289
"101","2018","68105","total households, Black householder",715
"102","2018","68105","Black households, received SNAP",299
"103","2018","68105","total households, Asian householder",204
"104","2018","68105","Asian households, received SNAP",47
"105","2018","68105","total households, Hispanic/Latino (any race)",1913
"106","2018","68105","Hispanic/Latino households, received SNAP",479
"107","2018","68105","total population",23508
"108","2018","68105","total population under 18",5903
"109","2018","68105","median age total population",31.6
"110","2018","68105","median age male",31.9
"111","2018","68105","median age female",31.4
"112","2018","68105","limited English households, total",784
"113","2018","68105","limited English households, percentage",8.3
"114","2018","68105","total population under 18 in poverty status",1893
"115","2018","68105","total SNAP percentage",0.0918798900401776
"116","2018","68105","White SNAP percentage",0.163703327406655
"117","2018","68105","Black SNAP percentage",0.418181818181818
"118","2018","68105","Asian SNAP percentage",0.230392156862745
"119","2018","68105","Hispanic/Latino SNAP percentage",0.250392054364872
"120","2018","68105","child poverty rate",0.320684397763849
"121","2018","68106","total households",9484
"122","2018","68106","total households, received SNAP",239
"123","2018","68106","total households, White householder",8566
"124","2018","68106","White households, received SNAP",410
"125","2018","68106","total households, Black householder",233
"126","2018","68106","Black households, received SNAP",37
"127","2018","68106","total households, Asian householder",333
"128","2018","68106","Asian households, received SNAP",0
"129","2018","68106","total households, Hispanic/Latino (any race)",419
"130","2018","68106","Hispanic/Latino households, received SNAP",61
"131","2018","68106","total population",20153
"132","2018","68106","total population under 18",3417
"133","2018","68106","median age total population",34.6
"134","2018","68106","median age male",33.6
"135","2018","68106","median age female",35.9
"136","2018","68106","limited English households, total",200
"137","2018","68106","limited English households, percentage",2.1
"138","2018","68106","total population under 18 in poverty status",297
"139","2018","68106","total SNAP percentage",0.0252003374103754
"140","2018","68106","White SNAP percentage",0.0478636469764184
"141","2018","68106","Black SNAP percentage",0.158798283261803
"142","2018","68106","Asian SNAP percentage",0
"143","2018","68106","Hispanic/Latino SNAP percentage",0.145584725536993
"144","2018","68106","child poverty rate",0.086918349429324
"145","2018","68107","total households",9277
"146","2018","68107","total households, received SNAP",1498
"147","2018","68107","total households, White householder",7820
"148","2018","68107","White households, received SNAP",1295
"149","2018","68107","total households, Black householder",463
"150","2018","68107","Black households, received SNAP",290
"151","2018","68107","total households, Asian householder",33
"152","2018","68107","Asian households, received SNAP",15
"153","2018","68107","total households, Hispanic/Latino (any race)",4528
"154","2018","68107","Hispanic/Latino households, received SNAP",961
"155","2018","68107","total population",31282
"156","2018","68107","total population under 18",10481
"157","2018","68107","median age total population",28.8
"158","2018","68107","median age male",28.7
"159","2018","68107","median age female",28.9
"160","2018","68107","limited English households, total",1770
"161","2018","68107","limited English households, percentage",19.1
"162","2018","68107","total population under 18 in poverty status",3322
"163","2018","68107","total SNAP percentage",0.161474614638353
"164","2018","68107","White SNAP percentage",0.165601023017903
"165","2018","68107","Black SNAP percentage",0.626349892008639
"166","2018","68107","Asian SNAP percentage",0.454545454545455
"167","2018","68107","Hispanic/Latino SNAP percentage",0.212234982332155
"168","2018","68107","child poverty rate",0.31695448907547
"169","2018","68108","total households",5142
"170","2018","68108","total households, received SNAP",789
"171","2018","68108","total households, White householder",4532
"172","2018","68108","White households, received SNAP",1117
"173","2018","68108","total households, Black householder",251
"174","2018","68108","Black households, received SNAP",152
"175","2018","68108","total households, Asian householder",34
"176","2018","68108","Asian households, received SNAP",13
"177","2018","68108","total households, Hispanic/Latino (any race)",1838
"178","2018","68108","Hispanic/Latino households, received SNAP",553
"179","2018","68108","total population",15336
"180","2018","68108","total population under 18",4716
"181","2018","68108","median age total population",31
"182","2018","68108","median age male",30.7
"183","2018","68108","median age female",31.6
"184","2018","68108","limited English households, total",644
"185","2018","68108","limited English households, percentage",12.5
"186","2018","68108","total population under 18 in poverty status",1765
"187","2018","68108","total SNAP percentage",0.153442240373396
"188","2018","68108","White SNAP percentage",0.246469549867608
"189","2018","68108","Black SNAP percentage",0.605577689243028
"190","2018","68108","Asian SNAP percentage",0.382352941176471
"191","2018","68108","Hispanic/Latino SNAP percentage",0.300870511425462
"192","2018","68108","child poverty rate",0.374257845631891
"193","2018","68110","total households",3097
"194","2018","68110","total households, received SNAP",447
"195","2018","68110","total households, White householder",1209
"196","2018","68110","White households, received SNAP",365
"197","2018","68110","total households, Black householder",1766
"198","2018","68110","Black households, received SNAP",543
"199","2018","68110","total households, Asian householder",53
"200","2018","68110","Asian households, received SNAP",18
"201","2018","68110","total households, Hispanic/Latino (any race)",243
"202","2018","68110","Hispanic/Latino households, received SNAP",73
"203","2018","68110","total population",9286
"204","2018","68110","total population under 18",2382
"205","2018","68110","median age total population",36.8
"206","2018","68110","median age male",35.9
"207","2018","68110","median age female",37.6
"208","2018","68110","limited English households, total",168
"209","2018","68110","limited English households, percentage",5.4
"210","2018","68110","total population under 18 in poverty status",847
"211","2018","68110","total SNAP percentage",0.144333225702293
"212","2018","68110","White SNAP percentage",0.301902398676592
"213","2018","68110","Black SNAP percentage",0.307474518686297
"214","2018","68110","Asian SNAP percentage",0.339622641509434
"215","2018","68110","Hispanic/Latino SNAP percentage",0.300411522633745
"216","2018","68110","child poverty rate",0.355583543240974
"217","2018","68111","total households",7954
"218","2018","68111","total households, received SNAP",1836
"219","2018","68111","total households, White householder",2378
"220","2018","68111","White households, received SNAP",997
"221","2018","68111","total households, Black householder",4962
"222","2018","68111","Black households, received SNAP",1968
"223","2018","68111","total households, Asian householder",189
"224","2018","68111","Asian households, received SNAP",137
"225","2018","68111","total households, Hispanic/Latino (any race)",533
"226","2018","68111","Hispanic/Latino households, received SNAP",180
"227","2018","68111","total population",21479
"228","2018","68111","total population under 18",7062
"229","2018","68111","median age total population",29.9
"230","2018","68111","median age male",25.8
"231","2018","68111","median age female",33.8
"232","2018","68111","limited English households, total",335
"233","2018","68111","limited English households, percentage",4.2
"234","2018","68111","total population under 18 in poverty status",3408
"235","2018","68111","total SNAP percentage",0.230827256726176
"236","2018","68111","White SNAP percentage",0.419259882253995
"237","2018","68111","Black SNAP percentage",0.396614268440145
"238","2018","68111","Asian SNAP percentage",0.724867724867725
"239","2018","68111","Hispanic/Latino SNAP percentage",0.337711069418386
"240","2018","68111","child poverty rate",0.482582837723025
"241","2018","68112","total households",4364
"242","2018","68112","total households, received SNAP",459
"243","2018","68112","total households, White householder",3199
"244","2018","68112","White households, received SNAP",425
"245","2018","68112","total households, Black householder",971
"246","2018","68112","Black households, received SNAP",398
"247","2018","68112","total households, Asian householder",43
"248","2018","68112","Asian households, received SNAP",0
"249","2018","68112","total households, Hispanic/Latino (any race)",356
"250","2018","68112","Hispanic/Latino households, received SNAP",45
"251","2018","68112","total population",11574
"252","2018","68112","total population under 18",3201
"253","2018","68112","median age total population",37.1
"254","2018","68112","median age male",36.6
"255","2018","68112","median age female",38.2
"256","2018","68112","limited English households, total",167
"257","2018","68112","limited English households, percentage",3.8
"258","2018","68112","total population under 18 in poverty status",987
"259","2018","68112","total SNAP percentage",0.105178735105408
"260","2018","68112","White SNAP percentage",0.132854016880275
"261","2018","68112","Black SNAP percentage",0.409886714727085
"262","2018","68112","Asian SNAP percentage",0
"263","2018","68112","Hispanic/Latino SNAP percentage",0.126404494382022
"264","2018","68112","child poverty rate",0.30834114339269
"265","2018","68114","total households",8152
"266","2018","68114","total households, received SNAP",295
"267","2018","68114","total households, White householder",7112
"268","2018","68114","White households, received SNAP",299
"269","2018","68114","total households, Black householder",635
"270","2018","68114","Black households, received SNAP",132
"271","2018","68114","total households, Asian householder",223
"272","2018","68114","Asian households, received SNAP",14
"273","2018","68114","total households, Hispanic/Latino (any race)",262
"274","2018","68114","Hispanic/Latino households, received SNAP",86
"275","2018","68114","total population",17800
"276","2018","68114","total population under 18",3692
"277","2018","68114","median age total population",38.3
"278","2018","68114","median age male",36.1
"279","2018","68114","median age female",40.4
"280","2018","68114","limited English households, total",206
"281","2018","68114","limited English households, percentage",2.5
"282","2018","68114","total population under 18 in poverty status",244
"283","2018","68114","total SNAP percentage",0.0361874386653582
"284","2018","68114","White SNAP percentage",0.0420416197975253
"285","2018","68114","Black SNAP percentage",0.207874015748031
"286","2018","68114","Asian SNAP percentage",0.062780269058296
"287","2018","68114","Hispanic/Latino SNAP percentage",0.32824427480916
"288","2018","68114","child poverty rate",0.0660888407367281
"289","2018","68116","total households",10991
"290","2018","68116","total households, received SNAP",173
"291","2018","68116","total households, White householder",9930
"292","2018","68116","White households, received SNAP",184
"293","2018","68116","total households, Black householder",249
"294","2018","68116","Black households, received SNAP",46
"295","2018","68116","total households, Asian householder",573
"296","2018","68116","Asian households, received SNAP",0
"297","2018","68116","total households, Hispanic/Latino (any race)",365
"298","2018","68116","Hispanic/Latino households, received SNAP",0
"299","2018","68116","total population",30398
"300","2018","68116","total population under 18",8777
"301","2018","68116","median age total population",33.8
"302","2018","68116","median age male",33.2
"303","2018","68116","median age female",34.5
"304","2018","68116","limited English households, total",106
"305","2018","68116","limited English households, percentage",1
"306","2018","68116","total population under 18 in poverty status",427
"307","2018","68116","total SNAP percentage",0.0157401510326631
"308","2018","68116","White SNAP percentage",0.0185297079556898
"309","2018","68116","Black SNAP percentage",0.184738955823293
"310","2018","68116","Asian SNAP percentage",0
"311","2018","68116","Hispanic/Latino SNAP percentage",0
"312","2018","68116","child poverty rate",0.0486498803691466
"313","2018","68117","total households",3147
"314","2018","68117","total households, received SNAP",237
"315","2018","68117","total households, White householder",2747
"316","2018","68117","White households, received SNAP",280
"317","2018","68117","total households, Black householder",38
"318","2018","68117","Black households, received SNAP",22
"319","2018","68117","total households, Asian householder",41
"320","2018","68117","Asian households, received SNAP",5
"321","2018","68117","total households, Hispanic/Latino (any race)",641
"322","2018","68117","Hispanic/Latino households, received SNAP",85
"323","2018","68117","total population",8658
"324","2018","68117","total population under 18",2447
"325","2018","68117","median age total population",35.1
"326","2018","68117","median age male",35.3
"327","2018","68117","median age female",34.9
"328","2018","68117","limited English households, total",87
"329","2018","68117","limited English households, percentage",2.8
"330","2018","68117","total population under 18 in poverty status",434
"331","2018","68117","total SNAP percentage",0.0753098188751192
"332","2018","68117","White SNAP percentage",0.10192937750273
"333","2018","68117","Black SNAP percentage",0.578947368421053
"334","2018","68117","Asian SNAP percentage",0.121951219512195
"335","2018","68117","Hispanic/Latino SNAP percentage",0.132605304212168
"336","2018","68117","child poverty rate",0.177360032693094
"337","2018","68118","total households",3510
"338","2018","68118","total households, received SNAP",83
"339","2018","68118","total households, White householder",3376
"340","2018","68118","White households, received SNAP",71
"341","2018","68118","total households, Black householder",8
"342","2018","68118","Black households, received SNAP",0
"343","2018","68118","total households, Asian householder",82
"344","2018","68118","Asian households, received SNAP",0
"345","2018","68118","total households, Hispanic/Latino (any race)",116
"346","2018","68118","Hispanic/Latino households, received SNAP",0
"347","2018","68118","total population",10134
"348","2018","68118","total population under 18",2731
"349","2018","68118","median age total population",39.6
"350","2018","68118","median age male",39.5
"351","2018","68118","median age female",39.9
"352","2018","68118","limited English households, total",0
"353","2018","68118","limited English households, percentage",0
"354","2018","68118","total population under 18 in poverty status",166
"355","2018","68118","total SNAP percentage",0.0236467236467236
"356","2018","68118","White SNAP percentage",0.0210308056872038
"357","2018","68118","Black SNAP percentage",0
"358","2018","68118","Asian SNAP percentage",0
"359","2018","68118","Hispanic/Latino SNAP percentage",0
"360","2018","68118","child poverty rate",0.0607835957524716
"361","2018","68122","total households",4200
"362","2018","68122","total households, received SNAP",200
"363","2018","68122","total households, White householder",3008
"364","2018","68122","White households, received SNAP",122
"365","2018","68122","total households, Black householder",925
"366","2018","68122","Black households, received SNAP",193
"367","2018","68122","total households, Asian householder",166
"368","2018","68122","Asian households, received SNAP",11
"369","2018","68122","total households, Hispanic/Latino (any race)",118
"370","2018","68122","Hispanic/Latino households, received SNAP",20
"371","2018","68122","total population",11873
"372","2018","68122","total population under 18",3705
"373","2018","68122","median age total population",32.8
"374","2018","68122","median age male",32.3
"375","2018","68122","median age female",33.6
"376","2018","68122","limited English households, total",89
"377","2018","68122","limited English households, percentage",2.1
"378","2018","68122","total population under 18 in poverty status",538
"379","2018","68122","total SNAP percentage",0.0476190476190476
"380","2018","68122","White SNAP percentage",0.0405585106382979
"381","2018","68122","Black SNAP percentage",0.208648648648649
"382","2018","68122","Asian SNAP percentage",0.0662650602409639
"383","2018","68122","Hispanic/Latino SNAP percentage",0.169491525423729
"384","2018","68122","child poverty rate",0.145209176788124
"385","2018","68124","total households",6549
"386","2018","68124","total households, received SNAP",243
"387","2018","68124","total households, White householder",5949
"388","2018","68124","White households, received SNAP",231
"389","2018","68124","total households, Black householder",257
"390","2018","68124","Black households, received SNAP",124
"391","2018","68124","total households, Asian householder",242
"392","2018","68124","Asian households, received SNAP",0
"393","2018","68124","total households, Hispanic/Latino (any race)",206
"394","2018","68124","Hispanic/Latino households, received SNAP",18
"395","2018","68124","total population",16015
"396","2018","68124","total population under 18",3788
"397","2018","68124","median age total population",40.5
"398","2018","68124","median age male",39.3
"399","2018","68124","median age female",41.8
"400","2018","68124","limited English households, total",108
"401","2018","68124","limited English households, percentage",1.6
"402","2018","68124","total population under 18 in poverty status",455
"403","2018","68124","total SNAP percentage",0.0371049015116812
"404","2018","68124","White SNAP percentage",0.0388300554715078
"405","2018","68124","Black SNAP percentage",0.482490272373541
"406","2018","68124","Asian SNAP percentage",0
"407","2018","68124","Hispanic/Latino SNAP percentage",0.087378640776699
"408","2018","68124","child poverty rate",0.120116156282999
"409","2018","68127","total households",10163
"410","2018","68127","total households, received SNAP",265
"411","2018","68127","total households, White householder",9059
"412","2018","68127","White households, received SNAP",553
"413","2018","68127","total households, Black householder",366
"414","2018","68127","Black households, received SNAP",22
"415","2018","68127","total households, Asian householder",250
"416","2018","68127","Asian households, received SNAP",0
"417","2018","68127","total households, Hispanic/Latino (any race)",1074
"418","2018","68127","Hispanic/Latino households, received SNAP",69
"419","2018","68127","total population",22445
"420","2018","68127","total population under 18",4434
"421","2018","68127","median age total population",35.4
"422","2018","68127","median age male",33.6
"423","2018","68127","median age female",37.2
"424","2018","68127","limited English households, total",293
"425","2018","68127","limited English households, percentage",2.9
"426","2018","68127","total population under 18 in poverty status",533
"427","2018","68127","total SNAP percentage",0.0260749778608679
"428","2018","68127","White SNAP percentage",0.0610442653714538
"429","2018","68127","Black SNAP percentage",0.0601092896174863
"430","2018","68127","Asian SNAP percentage",0
"431","2018","68127","Hispanic/Latino SNAP percentage",0.0642458100558659
"432","2018","68127","child poverty rate",0.12020748759585
"433","2018","68130","total households",7884
"434","2018","68130","total households, received SNAP",80
"435","2018","68130","total households, White householder",7290
"436","2018","68130","White households, received SNAP",95
"437","2018","68130","total households, Black householder",135
"438","2018","68130","Black households, received SNAP",0
"439","2018","68130","total households, Asian householder",346
"440","2018","68130","Asian households, received SNAP",0
"441","2018","68130","total households, Hispanic/Latino (any race)",121
"442","2018","68130","Hispanic/Latino households, received SNAP",43
"443","2018","68130","total population",21276
"444","2018","68130","total population under 18",6030
"445","2018","68130","median age total population",38.4
"446","2018","68130","median age male",37.9
"447","2018","68130","median age female",39
"448","2018","68130","limited English households, total",98
"449","2018","68130","limited English households, percentage",1.2
"450","2018","68130","total population under 18 in poverty status",210
"451","2018","68130","total SNAP percentage",0.0101471334348047
"452","2018","68130","White SNAP percentage",0.0130315500685871
"453","2018","68130","Black SNAP percentage",0
"454","2018","68130","Asian SNAP percentage",0
"455","2018","68130","Hispanic/Latino SNAP percentage",0.355371900826446
"456","2018","68130","child poverty rate",0.0348258706467662
"457","2018","68131","total households",5650
"458","2018","68131","total households, received SNAP",410
"459","2018","68131","total households, White householder",4016
"460","2018","68131","White households, received SNAP",460
"461","2018","68131","total households, Black householder",963
"462","2018","68131","Black households, received SNAP",399
"463","2018","68131","total households, Asian householder",431
"464","2018","68131","Asian households, received SNAP",129
"465","2018","68131","total households, Hispanic/Latino (any race)",600
"466","2018","68131","Hispanic/Latino households, received SNAP",63
"467","2018","68131","total population",13502
"468","2018","68131","total population under 18",2607
"469","2018","68131","median age total population",28.7
"470","2018","68131","median age male",29
"471","2018","68131","median age female",28.5
"472","2018","68131","limited English households, total",647
"473","2018","68131","limited English households, percentage",11.5
"474","2018","68131","total population under 18 in poverty status",1080
"475","2018","68131","total SNAP percentage",0.0725663716814159
"476","2018","68131","White SNAP percentage",0.114541832669323
"477","2018","68131","Black SNAP percentage",0.414330218068536
"478","2018","68131","Asian SNAP percentage",0.299303944315545
"479","2018","68131","Hispanic/Latino SNAP percentage",0.105
"480","2018","68131","child poverty rate",0.414269275028769
"481","2018","68132","total households",5828
"482","2018","68132","total households, received SNAP",238
"483","2018","68132","total households, White householder",4818
"484","2018","68132","White households, received SNAP",301
"485","2018","68132","total households, Black householder",589
"486","2018","68132","Black households, received SNAP",158
"487","2018","68132","total households, Asian householder",206
"488","2018","68132","Asian households, received SNAP",64
"489","2018","68132","total households, Hispanic/Latino (any race)",216
"490","2018","68132","Hispanic/Latino households, received SNAP",15
"491","2018","68132","total population",14569
"492","2018","68132","total population under 18",3251
"493","2018","68132","median age total population",32.8
"494","2018","68132","median age male",33.5
"495","2018","68132","median age female",32.4
"496","2018","68132","limited English households, total",216
"497","2018","68132","limited English households, percentage",3.7
"498","2018","68132","total population under 18 in poverty status",437
"499","2018","68132","total SNAP percentage",0.0408373369938229
"500","2018","68132","White SNAP percentage",0.0624740556247406
"501","2018","68132","Black SNAP percentage",0.268251273344652
"502","2018","68132","Asian SNAP percentage",0.310679611650485
"503","2018","68132","Hispanic/Latino SNAP percentage",0.0694444444444444
"504","2018","68132","child poverty rate",0.134420178406644
"505","2018","68134","total households",12354
"506","2018","68134","total households, received SNAP",643
"507","2018","68134","total households, White householder",9587
"508","2018","68134","White households, received SNAP",795
"509","2018","68134","total households, Black householder",2322
"510","2018","68134","Black households, received SNAP",726
"511","2018","68134","total households, Asian householder",98
"512","2018","68134","Asian households, received SNAP",0
"513","2018","68134","total households, Hispanic/Latino (any race)",602
"514","2018","68134","Hispanic/Latino households, received SNAP",70
"515","2018","68134","total population",29070
"516","2018","68134","total population under 18",6499
"517","2018","68134","median age total population",35.5
"518","2018","68134","median age male",34.1
"519","2018","68134","median age female",36.6
"520","2018","68134","limited English households, total",155
"521","2018","68134","limited English households, percentage",1.3
"522","2018","68134","total population under 18 in poverty status",1054
"523","2018","68134","total SNAP percentage",0.0520479197021208
"524","2018","68134","White SNAP percentage",0.082924793991864
"525","2018","68134","Black SNAP percentage",0.31266149870801
"526","2018","68134","Asian SNAP percentage",0
"527","2018","68134","Hispanic/Latino SNAP percentage",0.116279069767442
"528","2018","68134","child poverty rate",0.16217879673796
"529","2018","68135","total households",9630
"530","2018","68135","total households, received SNAP",128
"531","2018","68135","total households, White householder",8945
"532","2018","68135","White households, received SNAP",202
"533","2018","68135","total households, Black householder",146
"534","2018","68135","Black households, received SNAP",0
"535","2018","68135","total households, Asian householder",312
"536","2018","68135","Asian households, received SNAP",0
"537","2018","68135","total households, Hispanic/Latino (any race)",346
"538","2018","68135","Hispanic/Latino households, received SNAP",17
"539","2018","68135","total population",29020
"540","2018","68135","total population under 18",9031
"541","2018","68135","median age total population",34.4
"542","2018","68135","median age male",34
"543","2018","68135","median age female",35.1
"544","2018","68135","limited English households, total",125
"545","2018","68135","limited English households, percentage",1.3
"546","2018","68135","total population under 18 in poverty status",320
"547","2018","68135","total SNAP percentage",0.0132917964693666
"548","2018","68135","White SNAP percentage",0.0225824482951369
"549","2018","68135","Black SNAP percentage",0
"550","2018","68135","Asian SNAP percentage",0
"551","2018","68135","Hispanic/Latino SNAP percentage",0.0491329479768786
"552","2018","68135","child poverty rate",0.0354335068098771
"553","2018","68137","total households",10416
"554","2018","68137","total households, received SNAP",253
"555","2018","68137","total households, White householder",9520
"556","2018","68137","White households, received SNAP",365
"557","2018","68137","total households, Black householder",304
"558","2018","68137","Black households, received SNAP",46
"559","2018","68137","total households, Asian householder",171
"560","2018","68137","Asian households, received SNAP",0
"561","2018","68137","total households, Hispanic/Latino (any race)",471
"562","2018","68137","Hispanic/Latino households, received SNAP",53
"563","2018","68137","total population",25984
"564","2018","68137","total population under 18",6527
"565","2018","68137","median age total population",35.9
"566","2018","68137","median age male",34.6
"567","2018","68137","median age female",37.3
"568","2018","68137","limited English households, total",144
"569","2018","68137","limited English households, percentage",1.4
"570","2018","68137","total population under 18 in poverty status",263
"571","2018","68137","total SNAP percentage",0.02428955453149
"572","2018","68137","White SNAP percentage",0.0383403361344538
"573","2018","68137","Black SNAP percentage",0.151315789473684
"574","2018","68137","Asian SNAP percentage",0
"575","2018","68137","Hispanic/Latino SNAP percentage",0.112526539278132
"576","2018","68137","child poverty rate",0.0402941627087483
"577","2018","68142","total households",1571
"578","2018","68142","total households, received SNAP",6
"579","2018","68142","total households, White householder",1451
"580","2018","68142","White households, received SNAP",47
"581","2018","68142","total households, Black householder",47
"582","2018","68142","Black households, received SNAP",0
"583","2018","68142","total households, Asian householder",33
"584","2018","68142","Asian households, received SNAP",0
"585","2018","68142","total households, Hispanic/Latino (any race)",105
"586","2018","68142","Hispanic/Latino households, received SNAP",0
"587","2018","68142","total population",3968
"588","2018","68142","total population under 18",864
"589","2018","68142","median age total population",37.1
"590","2018","68142","median age male",36.2
"591","2018","68142","median age female",41.9
"592","2018","68142","limited English households, total",24
"593","2018","68142","limited English households, percentage",1.5
"594","2018","68142","total population under 18 in poverty status",101
"595","2018","68142","total SNAP percentage",0.00381922342457034
"596","2018","68142","White SNAP percentage",0.0323914541695383
"597","2018","68142","Black SNAP percentage",0
"598","2018","68142","Asian SNAP percentage",0
"599","2018","68142","Hispanic/Latino SNAP percentage",0
"600","2018","68142","child poverty rate",0.116898148148148
"601","2018","68144","total households",10043
"602","2018","68144","total households, received SNAP",226
"603","2018","68144","total households, White householder",9407
"604","2018","68144","White households, received SNAP",411
"605","2018","68144","total households, Black householder",306
"606","2018","68144","Black households, received SNAP",26
"607","2018","68144","total households, Asian householder",122
"608","2018","68144","Asian households, received SNAP",26
"609","2018","68144","total households, Hispanic/Latino (any race)",261
"610","2018","68144","Hispanic/Latino households, received SNAP",10
"611","2018","68144","total population",23877
"612","2018","68144","total population under 18",5501
"613","2018","68144","median age total population",39.1
"614","2018","68144","median age male",37.9
"615","2018","68144","median age female",40.8
"616","2018","68144","limited English households, total",135
"617","2018","68144","limited English households, percentage",1.3
"618","2018","68144","total population under 18 in poverty status",316
"619","2018","68144","total SNAP percentage",0.0225032360848352
"620","2018","68144","White SNAP percentage",0.0436908685021792
"621","2018","68144","Black SNAP percentage",0.0849673202614379
"622","2018","68144","Asian SNAP percentage",0.213114754098361
"623","2018","68144","Hispanic/Latino SNAP percentage",0.0383141762452107
"624","2018","68144","child poverty rate",0.0574441010725323
"625","2018","68152","total households",2366
"626","2018","68152","total households, received SNAP",91
"627","2018","68152","total households, White householder",1791
"628","2018","68152","White households, received SNAP",61
"629","2018","68152","total households, Black householder",451
"630","2018","68152","Black households, received SNAP",41
"631","2018","68152","total households, Asian householder",36
"632","2018","68152","Asian households, received SNAP",18
"633","2018","68152","total households, Hispanic/Latino (any race)",49
"634","2018","68152","Hispanic/Latino households, received SNAP",5
"635","2018","68152","total population",6327
"636","2018","68152","total population under 18",1452
"637","2018","68152","median age total population",46.6
"638","2018","68152","median age male",45.4
"639","2018","68152","median age female",48.2
"640","2018","68152","limited English households, total",26
"641","2018","68152","limited English households, percentage",1.1
"642","2018","68152","total population under 18 in poverty status",93
"643","2018","68152","total SNAP percentage",0.0384615384615385
